event_id,event_date,event_type,symbol,pre_event_car,pre_event_t_stat,pre_event_p_value
19,2021-09-24,Reg_Negative,BTC,-0.15877950185561263,-0.6330003421666356,0.5273120079478342
19,2021-09-24,Reg_Negative,ETH,-0.20800611318652512,-0.6062765128456193,0.544881256063221
19,2021-09-24,Reg_Negative,SOL,0.4370218417447361,0.8381808233951393,0.4027298014913647
19,2021-09-24,Reg_Negative,ADA,-0.4872946313578233,-1.1345923371900988,0.2576328555716263
20,2021-10-19,Reg_Positive,BTC,0.1308557266406042,0.5223425067836514,0.6018944167346807
20,2021-10-19,Reg_Positive,ETH,-0.15029466992861676,-0.4432228206950418,0.6579878756883608
20,2021-10-19,Reg_Positive,SOL,-0.6201505658127071,-1.1899504318826153,0.23519467830664098
20,2021-10-19,Reg_Positive,ADA,-0.5148009773163518,-1.2163587844509227,0.22499544700154983
22,2022-01-05,Reg_Negative,BTC,-0.12077378854716372,-0.5389386440700275,0.5904087823924513
22,2022-01-05,Reg_Negative,ETH,-0.26815361436876184,-0.8728564146434545,0.3835789253575923
22,2022-01-05,Reg_Negative,SOL,-0.5754480947006493,-1.2760828213323967,0.2031105025406963
22,2022-01-05,Reg_Negative,ADA,-0.12137373660452638,-0.3505217027634538,0.7262423688278719
23,2022-03-09,Reg_Positive,BTC,-0.05134780592180793,-0.23252221654199856,0.8163226751464978
23,2022-03-09,Reg_Positive,ETH,-0.19658985056525474,-0.651437217063107,0.5153626645363509
23,2022-03-09,Reg_Positive,SOL,-0.5032562316793668,-1.1803195768018526,0.23899495520375091
23,2022-03-09,Reg_Positive,ADA,-0.3683889621525482,-1.0848447995045278,0.2790354331837963
24,2022-05-09,Infra_Negative,BTC,-0.247694195658575,-1.287099053921056,0.19925016006125507
24,2022-05-09,Infra_Negative,ETH,-0.27927417612661626,-1.181842033995006,0.23839131992588203
24,2022-05-09,Infra_Negative,SOL,-0.5200668141199255,-1.5135217127765355,0.13141035368146925
24,2022-05-09,Infra_Negative,ADA,-0.2681422284634768,-0.9771865602907474,0.32942142693379184
25,2022-06-12,Infra_Negative,BTC,-0.02389201182520206,-0.1257016967168973,0.9000690858691924
25,2022-06-12,Infra_Negative,ETH,-0.2547817759385235,-1.1092736338898854,0.26837806819980914
25,2022-06-12,Infra_Negative,SOL,-0.3865238946932602,-1.14658810347633,0.25264810820248096
25,2022-06-12,Infra_Negative,ADA,0.23415513188599515,0.8300661513800126,0.40729332131086715
26,2022-09-15,Infra_Positive,BTC,-0.04167714360126759,-0.21216950226737846,0.8321476790010227
26,2022-09-15,Infra_Positive,ETH,-0.0008633547206023939,-0.00352349289261943,0.9971914751833215
26,2022-09-15,Infra_Positive,SOL,-0.05095136422278205,-0.15637678154484683,0.875862241505337
26,2022-09-15,Infra_Positive,ADA,0.025914406744794075,0.08646354338456684,0.9311671450586887
27,2022-10-06,Infra_Negative,BTC,0.1259018535508332,0.6465183449468485,0.5185368047613594
27,2022-10-06,Infra_Negative,ETH,-0.07383250213481259,-0.292335183924831,0.7702728227764071
27,2022-10-06,Infra_Negative,SOL,0.22137214761702018,0.6765101809214656,0.4993422011574724
27,2022-10-06,Infra_Negative,ADA,-0.03965420320093535,-0.13205448781953089,0.8950474109526563
28,2022-11-11,Infra_Negative,BTC,0.01684859656789861,0.08613893607889672,0.9314249197760773
28,2022-11-11,Infra_Negative,ETH,0.12968315503361624,0.5018258108277552,0.6162317112803404
28,2022-11-11,Infra_Negative,SOL,-0.21653885135735151,-0.6729977475947492,0.5015703435958052
28,2022-11-11,Infra_Negative,ADA,0.05857793828967338,0.2019953103681127,0.8400846628452361
29,2023-03-10,Infra_Negative,BTC,-0.039610611578483654,-0.21844820542768667,0.8272581253332483
29,2023-03-10,Infra_Negative,ETH,-0.07784854813517078,-0.29723087548151916,0.7665370729760967
29,2023-03-10,Infra_Negative,SOL,-0.13999581218003887,-0.38538828030211547,0.700277467752703
29,2023-03-10,Infra_Negative,ADA,-0.15348025913386032,-0.574438858607737,0.5661873813192719
31,2023-06-05,Reg_Negative,BTC,-0.11304517934897011,-0.7199017663780989,0.47225796685091126
31,2023-06-05,Reg_Negative,ETH,-0.08232945015952005,-0.40284278464305046,0.687408154110841
31,2023-06-05,Reg_Negative,SOL,-0.01003582514738069,-0.029434231666191312,0.9765417551759545
