event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,estimation_n,model,beta,alpha
12,2020-12-22,Reg_Negative,SEC sues Ripple over XRP sales,ETH,0.17606785480358333,1.1014007172979798,0.27178156368231443,251,market_model,1.0620817661524107,0.0010585518064127398
12,2020-12-22,Reg_Negative,SEC sues Ripple over XRP sales,ADA,0.25641195320205623,1.0244298067481008,0.30662253189926103,251,market_model,1.0102213960484525,0.0022032811759829015
15,2021-05-19,Reg_Negative,China mining crackdown announcement,BTC,-0.5137892810289867,-2.273906516039989,0.023819911797874793,251,constant_mean,,
15,2021-05-19,Reg_Negative,China mining crackdown announcement,ETH,-0.16773166912502613,-0.7596491295260326,0.4481800641473639,251,market_model,0.9444250664471442,0.00170673879208851
15,2021-05-19,Reg_Negative,China mining crackdown announcement,SOL,0.020833710427389213,0.037320054980418085,0.9702597174409406,250,market_model,0.5604791290405288,0.009493853465955387
15,2021-05-19,Reg_Negative,China mining crackdown announcement,ADA,-0.1281466158077594,-0.3455038286592862,0.730006172793225,251,market_model,0.8150625954694112,0.005382029250210376
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,BTC,-0.36620535387985154,-1.5638913734222593,0.11910799922453719,251,constant_mean,,
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,ETH,-0.266044026743469,-1.1348312574403907,0.2575329089089906,251,market_model,0.9095356730655263,0.003657614494959096
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,SOL,-0.3808530083244023,-0.6829191247431029,0.49529029981240136,251,market_model,0.4733522835024577,0.009772587389439454
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,ADA,-0.4299656278924453,-1.144224832576041,0.2536247606246933,251,market_model,0.8211957298712335,0.007145392142478009
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,BTC,0.017407464280162155,0.06307938209668516,0.9497536967909928,251,constant_mean,,
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,ETH,0.16032256374692394,0.6293642621811778,0.5296853078348986,251,market_model,0.9862111003647455,0.004112703487253
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,SOL,0.9741093771233381,1.7652593634858793,0.07874099192253703,251,market_model,0.7322271351271175,0.013124833166969347
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,ADA,0.3468044015639639,0.8721849723041455,0.3839443458520775,251,market_model,0.9157495960611,0.009186295287283897
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),BTC,0.012352297528933819,0.04472094181483244,0.9643654410467575,251,constant_mean,,
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),ETH,-0.0555021321056995,-0.21697480387723897,0.828404942678937,251,market_model,0.9905184500643075,0.004076177271956432
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),SOL,1.1817192767365916,2.1440281907591667,0.032995387590503356,251,market_model,0.7307214896601697,0.013260370848192841
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),ADA,0.19371817432009164,0.4885605635441751,0.6255811143793331,251,market_model,0.9187517167787715,0.00919123085443088
