week_start,S_gdelt_raw,S_gdelt_normalized,S_reg_decomposed,S_infra_decomposed,total_articles,total_mentions,reg_article_count,infra_article_count,reg_proportion,infra_proportion
2022-12-05 00:00:00.000000 UTC,-5.1368,-0.2791,-0.0953,-0.1089,41,220,14,16,0.3415,0.3902
2022-12-12 00:00:00.000000 UTC,-7.8745,-1.8639,-1.0984,-0.699,56,366,33,21,0.5893,0.375
2022-12-19 00:00:00.000000 UTC,-14.8351,-4.5225,-0.9466,-1.788,43,399,9,17,0.2093,0.3953
2022-12-26 00:00:00.000000 UTC,-7.3194,-1.0476,-0.2794,-0.419,15,97,4,6,0.2667,0.4
2023-01-02 00:00:00.000000 UTC,-10.3516,-2.2702,-0.6486,-0.9729,21,158,6,9,0.2857,0.4286
2023-01-09 00:00:00.000000 UTC,-6.8653,-0.715,-0.2383,-0.2383,30,175,10,10,0.3333,0.3333
2023-01-16 00:00:00.000000 UTC,-6.104,-0.3703,-0.2289,-0.0741,55,295,34,11,0.6182,0.2
2023-01-23 00:00:00.000000 UTC,-4.7774,0.2214,0.0193,0.0481,23,115,2,5,0.087,0.2174
2023-01-30 00:00:00.000000 UTC,-5.2137,0.0516,0.009,0.0135,23,113,4,6,0.1739,0.2609
2023-02-06 00:00:00.000000 UTC,-7.1993,-0.8691,-0.3311,-0.3311,21,132,8,8,0.381,0.381
2023-02-13 00:00:00.000000 UTC,-5.8421,-0.2502,-0.091,-0.1061,33,191,12,14,0.3636,0.4242
2023-02-20 00:00:00.000000 UTC,-7.3376,-0.9069,-0.3455,-0.3455,21,146,8,8,0.381,0.381
2023-02-27 00:00:00.000000 UTC,-5.4732,-0.0466,-0.0064,-0.0085,22,138,3,4,0.1364,0.1818
2023-03-06 00:00:00.000000 UTC,-5.8496,-0.2048,-0.033,-0.0396,31,165,5,6,0.1613,0.1935
2023-03-13 00:00:00.000000 UTC,-3.4033,0.8832,0.4278,0.3864,64,316,31,28,0.4844,0.4375
2023-03-20 00:00:00.000000 UTC,-5.1419,0.0942,0.08,0.0071,173,917,147,13,0.8497,0.0751
2023-03-27 00:00:00.000000 UTC,-7.998,-1.1853,-0.6018,-0.3465,65,437,33,19,0.5077,0.2923
2023-04-03 00:00:00.000000 UTC,-5.7485,-0.1586,-0.0179,-0.0358,62,373,7,14,0.1129,0.2258
2023-04-10 00:00:00.000000 UTC,-6.297,-0.3784,-0.0929,-0.1062,57,339,14,16,0.2456,0.2807
2023-04-17 00:00:00.000000 UTC,-6.2546,-0.3441,-0.0504,-0.0168,41,237,6,2,0.1463,0.0488
2023-04-24 00:00:00.000000 UTC,-5.4502,0.0392,0.0073,0.0073,54,318,10,10,0.1852,0.1852
2023-05-01 00:00:00.000000 UTC,-5.1129,0.2022,0.0602,0.0258,47,269,14,6,0.2979,0.1277
2023-05-08 00:00:00.000000 UTC,-6.3291,-0.3532,-0.1274,-0.0811,61,380,22,14,0.3607,0.2295
2023-05-15 00:00:00.000000 UTC,-5.9167,-0.1495,-0.0133,-0.0507,56,333,5,19,0.0893,0.3393
2023-05-22 00:00:00.000000 UTC,-6.7556,-0.5104,-0.0638,-0.117,48,317,6,11,0.125,0.2292
2023-05-29 00:00:00.000000 UTC,-5.4634,0.1111,0.0202,0.0337,33,194,6,10,0.1818,0.303
2023-06-05 00:00:00.000000 UTC,-6.6606,-0.4316,-0.1706,-0.0703,86,525,34,14,0.3953,0.1628
2023-06-12 00:00:00.000000 UTC,-5.1561,0.2822,0.0925,0.0555,61,336,20,12,0.3279,0.1967
2023-06-19 00:00:00.000000 UTC,-7.2176,-0.6826,-0.1828,-0.1463,56,353,15,12,0.2679,0.2143
2023-06-26 00:00:00.000000 UTC,-3.7787,0.9566,0.1829,0.2532,68,342,13,18,0.1912,0.2647
2023-07-03 00:00:00.000000 UTC,-4.5503,0.5867,0.1658,0.102,46,258,13,8,0.2826,0.1739
2023-07-10 00:00:00.000000 UTC,-7.525,-0.7982,-0.2419,-0.2661,33,197,10,11,0.303,0.3333
2023-07-17 00:00:00.000000 UTC,-5.1902,0.3385,0.0376,0.0602,45,278,5,8,0.1111,0.1778
2023-07-24 00:00:00.000000 UTC,-4.7332,0.5841,0.2556,0.2556,64,383,28,28,0.4375,0.4375
2023-07-31 00:00:00.000000 UTC,-5.5176,0.2366,0.0514,0.036,46,291,10,7,0.2174,0.1522
2023-08-07 00:00:00.000000 UTC,-6.633,-0.3237,-0.1241,-0.1025,60,380,23,19,0.3833,0.3167
2023-08-14 00:00:00.000000 UTC,-6.5267,-0.2552,-0.0751,-0.0713,68,409,20,19,0.2941,0.2794
2023-08-21 00:00:00.000000 UTC,-9.1993,-1.5428,-0.3933,-0.363,51,397,13,12,0.2549,0.2353
2023-08-28 00:00:00.000000 UTC,-4.8299,0.6265,0.1999,0.0933,47,270,15,7,0.3191,0.1489
2023-09-04 00:00:00.000000 UTC,-6.4181,-0.1265,-0.0306,-0.0286,62,389,15,14,0.2419,0.2258
2023-09-11 00:00:00.000000 UTC,-5.5949,0.3287,0.0432,0.0692,38,223,5,8,0.1316,0.2105
2023-09-18 00:00:00.000000 UTC,-5.2817,0.5152,0.1085,0.1085,57,340,12,12,0.2105,0.2105
2023-09-25 00:00:00.000000 UTC,-6.7929,-0.268,-0.0893,-0.0726,48,317,16,13,0.3333,0.2708
2023-10-02 00:00:00.000000 UTC,-6.2674,0.015,0.005,0.0053,51,338,17,18,0.3333,0.3529
2023-10-09 00:00:00.000000 UTC,-6.9704,-0.3534,-0.0353,-0.0442,40,252,4,5,0.1,0.125
2023-10-16 00:00:00.000000 UTC,-4.4836,0.9702,0.3093,0.1968,69,336,22,14,0.3188,0.2029
2023-10-23 00:00:00.000000 UTC,-4.8197,0.7782,0.2646,0.2179,50,252,17,14,0.34,0.28
2023-10-30 00:00:00.000000 UTC,-5.6944,0.3044,0.0993,0.1191,46,278,15,18,0.3261,0.3913
2023-11-06 00:00:00.000000 UTC,-4.0759,1.1312,0.4096,0.2926,58,300,21,15,0.3621,0.2586
2023-11-13 00:00:00.000000 UTC,-7.3997,-0.5988,-0.0798,-0.1397,30,193,4,7,0.1333,0.2333
2023-11-20 00:00:00.000000 UTC,-5.5466,0.3426,0.157,0.0999,48,314,22,14,0.4583,0.2917
2023-11-27 00:00:00.000000 UTC,-5.4818,0.4051,0.1437,0.0784,31,179,11,6,0.3548,0.1935
2023-12-04 00:00:00.000000 UTC,-2.8275,1.8206,0.1005,1.318,163,814,9,118,0.0552,0.7239
2023-12-11 00:00:00.000000 UTC,-4.9746,0.6186,0.0844,0.1547,44,229,6,11,0.1364,0.25
2023-12-18 00:00:00.000000 UTC,-5.516,0.3028,0.0401,0.0935,68,425,9,21,0.1324,0.3088
2023-12-25 00:00:00.000000 UTC,-3.2123,1.9152,0.3352,0.1915,40,218,7,4,0.175,0.1
2024-01-01 00:00:00.000000 UTC,-4.6993,0.8441,0.2748,0.2159,43,201,14,11,0.3256,0.2558
2024-01-08 00:00:00.000000 UTC,-4.6618,0.8414,0.3268,0.1552,103,558,40,19,0.3883,0.1845
2024-01-15 00:00:00.000000 UTC,-5.1445,0.4312,0.1327,0.058,52,293,16,7,0.3077,0.1346
2024-01-22 00:00:00.000000 UTC,-5.7228,-0.0268,-0.0088,-0.0074,58,352,19,16,0.3276,0.2759
2024-01-29 00:00:00.000000 UTC,-5.0345,0.5352,0.1315,0.1596,57,329,14,17,0.2456,0.2982
2024-02-05 00:00:00.000000 UTC,-3.8146,1.4733,0.2508,0.1881,47,253,8,6,0.1702,0.1277
2024-02-12 00:00:00.000000 UTC,-4.0539,1.2315,0.215,0.1955,63,309,11,10,0.1746,0.1587
2024-02-19 00:00:00.000000 UTC,-4.7255,0.662,0.2257,0.2257,44,252,15,15,0.3409,0.3409
2024-02-26 00:00:00.000000 UTC,-4.8487,0.5501,0.1052,0.1052,68,352,13,13,0.1912,0.1912
