snapped_at,price,market_cap,total_volume
2024-01-13,296.783856466719,45573685141.6714,1438835226.91694
2024-01-14,302.193734487141,46511820484.9031,604671669.583956
2024-01-15,299.402491772599,46369619326.8606,622433206.509019
2024-01-16,317.969105097733,48978456177.6279,1925904019.0776
2024-01-17,315.480703232915,48540451920.6553,1341981225.75381
2024-01-18,309.341750029581,47591545231.698,1531777116.68552
2024-01-19,314.567732922026,48376933187.3693,1144722658.90231
2024-01-20,314.067429326128,48287719207.4332,1029964275.96136
2024-01-21,315.976271753843,48645934441.94,448273871.990286
2024-01-22,318.632557012334,49042846215.386,500956293.010627
2024-01-23,304.722213333311,46940688608.9046,874777342.571324
2024-01-24,298.509587486643,45841747382.0907,1166626987.03575
2024-01-25,293.353808421487,45131103087.7761,911262996.333291
2024-01-26,292.060439259245,44954097752.359,1155198730.62711
2024-01-27,302.022674211404,46443829653.1286,873868568.022558
2024-01-28,305.782274160057,47056386363.9469,430181295.285196
2024-01-29,304.80485100718,46902791586.0702,569912680.572274
2024-01-30,310.74808669319,47758984441.7525,643276219.245238
2024-01-31,307.321591944775,47188873308.4994,603066399.33987
2024-02-01,300.213319796269,46192055347.4499,623470375.273254
2024-02-02,299.911404899991,46148265214.2173,576922486.313715
2024-02-03,301.174354398511,46333522221.5605,468564687.543955
2024-02-04,299.718153248542,46091745160.4121,293900008.477778
2024-02-05,304.764843208667,46871377111.1192,660952641.859824
2024-02-06,300.811694358311,46272324647.3705,593526895.517592
2024-02-07,302.802035397898,46583218384.3703,397448079.172313
2024-02-08,307.879711423421,47401109068.2003,583296868.834225
2024-02-09,319.310800216338,49200833687.8574,1167094483.21352
2024-02-10,323.399265779863,49760693079.5822,1180454941.1076
2024-02-11,322.83361107941,49684479382.8035,514328389.466528
2024-02-12,320.510494896518,49303061990.438,432108285.039789
2024-02-13,327.913297880821,50408542026.9421,813983944.861306
2024-02-14,325.111732556256,50013084967.3933,739141006.759218
2024-02-15,333.853698507519,51395978505.9841,672496070.532643
